transaction_id,product,branch,city,customer_type,quantity,unit_price,payment_method,rating,sales
32,Cheese,A,Lucknow,Normal,4,49.5,Cash,2.64,198.0
33,Water,B,Delhi,Member,3,22.5,Debit Card,2.8,67.5
34,Snacks,C,Mumbai,Normal,7,66.0,UPI,2.89,462.0
35,Cheese,A,Lucknow,Member,6,49.5,Credit Card,3.51,297.0
36,Bread,A,Lucknow,Member,9,31.5,UPI,2.2,283.5
37,Coffee,C,Mumbai,Member,2,144.0,Credit Card,2.12,288.0
38,Milk,C,Mumbai,Normal,10,54.0,Debit Card,2.61,540.0
39,Juice,B,Delhi,Member,5,70.0,Credit Card,2.9,350.0
40,Juice,B,Delhi,Member,1,63.0,UPI,2.64,63.0
41,Tea,A,Lucknow,Member,6,80.0,Cash,2.47,480.0
42,Tea,B,Delhi,Member,9,72.0,Debit Card,2.4,648.0
43,Milk,A,Lucknow,Normal,9,40.5,UPI,2.63,364.5
44,Juice,C,Mumbai,Normal,5,70.0,UPI,4.72,350.0
45,Cheese,B,Delhi,Member,7,49.5,UPI,4.31,346.5
46,Tea,C,Mumbai,Normal,8,80.0,Cash,2.34,640.0
47,Bread,C,Mumbai,Member,6,31.5,Cash,2.13,189.0
48,Juice,A,Lucknow,Member,6,63.0,Credit Card,3.06,378.0
49,Water,A,Lucknow,Member,4,25.0,Debit Card,2.07,100.0
50,Juice,B,Delhi,Member,4,84.0,Credit Card,2.32,336.0
51,Cheese,A,Lucknow,Normal,4,66.0,Cash,4.46,264.0
52,Coffee,C,Mumbai,Member,1,120.0,Cash,2.84,120.0
53,Milk,C,Mumbai,Normal,6,49.5,Credit Card,4.53,297.0
54,Juice,B,Delhi,Member,2,63.0,Credit Card,4.95,126.0
55,Cheese,B,Delhi,Normal,10,49.5,Credit Card,2.94,495.0
56,Milk,A,Lucknow,Normal,10,54.0,UPI,3.31,540.0
57,Coffee,A,Lucknow,Normal,7,132.0,Credit Card,3.99,924.0
58,Milk,B,Delhi,Normal,9,49.5,Cash,4.09,445.5
59,Bread,C,Mumbai,Normal,7,35.0,Credit Card,4.71,245.0
60,Tea,A,Lucknow,Normal,9,96.0,UPI,3.29,864.0
61,Juice,B,Delhi,Member,8,84.0,Cash,4.38,672.0
62,Bread,C,Mumbai,Normal,5,31.5,UPI,4.86,157.5
63,Coffee,A,Lucknow,Member,4,132.0,UPI,2.73,528.0
64,Snacks,B,Delhi,Member,8,54.0,Credit Card,3.15,432.0
65,Water,C,Mumbai,Member,3,25.0,Debit Card,4.58,75.0
66,Milk,A,Lucknow,Normal,4,54.0,UPI,2.75,216.0
67,Milk,B,Delhi,Normal,3,54.0,Debit Card,4.67,162.0
68,Water,C,Mumbai,Normal,3,30.0,Cash,4.26,90.0
69,Tea,B,Delhi,Normal,4,96.0,UPI,2.86,384.0
70,Tea,C,Mumbai,Member,6,88.0,UPI,2.69,528.0
71,Bread,B,Delhi,Normal,2,35.0,Cash,3.4,70.0
72,Cheese,B,Delhi,Member,7,55.0,Debit Card,4.3,385.0
73,Water,B,Delhi,Normal,1,30.0,Credit Card,4.56,30.0
74,Water,A,Lucknow,Normal,8,25.0,Cash,2.09,200.0
75,Juice,B,Delhi,Member,3,84.0,Debit Card,3.6,252.0
76,Water,C,Mumbai,Normal,2,22.5,UPI,3.39,45.0
77,Cheese,B,Delhi,Member,7,60.5,Cash,3.01,423.5
78,Water,B,Delhi,Member,7,27.5,Cash,4.25,192.5
79,Cheese,C,Mumbai,Member,4,60.5,Credit Card,3.96,242.0
80,Cheese,A,Lucknow,Member,4,55.0,UPI,3.42,220.0
81,Milk,C,Mumbai,Normal,8,45.0,Credit Card,2.5,360.0
82,Milk,A,Lucknow,Member,5,45.0,Debit Card,3.73,225.0
83,Water,A,Lucknow,Member,4,30.0,UPI,4.32,120.0
84,Milk,C,Mumbai,Normal,6,40.5,Credit Card,2.21,243.0
85,Juice,B,Delhi,Member,7,63.0,Cash,3.09,441.0
86,Snacks,A,Lucknow,Normal,7,60.0,Credit Card,4.76,420.0
87,Snacks,C,Mumbai,Normal,7,72.0,Cash,2.74,504.0
88,Milk,A,Lucknow,Normal,8,49.5,Credit Card,4.0,396.0
89,Juice,B,Delhi,Member,8,63.0,Cash,3.06,504.0
90,Tea,C,Mumbai,Normal,5,88.0,Cash,3.55,440.0
91,Coffee,C,Mumbai,Normal,4,108.0,Cash,4.27,432.0
92,Snacks,A,Lucknow,Member,8,72.0,UPI,3.21,576.0
93,Coffee,B,Delhi,Normal,10,132.0,Cash,3.03,1320.0
94,Juice,B,Delhi,Normal,8,77.0,UPI,2.36,616.0
95,Coffee,C,Mumbai,Member,2,132.0,UPI,4.22,264.0
96,Tea,A,Lucknow,Normal,2,88.0,UPI,2.54,176.0
97,Cheese,A,Lucknow,Member,5,55.0,Cash,4.09,275.0
98,Bread,A,Lucknow,Normal,2,42.0,Cash,3.32,84.0
99,Bread,B,Delhi,Member,5,31.5,Debit Card,3.2,157.5
100,Milk,A,Lucknow,Normal,3,40.5,UPI,2.74,121.5
101,Water,B,Delhi,Normal,9,25.0,Debit Card,2.89,225.0
102,Water,C,Mumbai,Member,10,27.5,Credit Card,4.22,275.0
103,Coffee,C,Mumbai,Member,5,120.0,UPI,2.52,600.0
104,Milk,B,Delhi,Normal,1,45.0,Credit Card,3.41,45.0
105,Cheese,C,Mumbai,Normal,5,55.0,Credit Card,3.36,275.0
106,Coffee,C,Mumbai,Member,10,132.0,Cash,3.63,1320.0
107,Bread,A,Lucknow,Member,3,38.5,UPI,2.92,115.5
108,Tea,B,Delhi,Normal,2,96.0,Credit Card,4.83,192.0
109,Snacks,C,Mumbai,Member,2,72.0,Debit Card,4.2,144.0
110,Tea,A,Lucknow,Member,2,72.0,Debit Card,4.02,144.0
111,Tea,B,Delhi,Normal,3,72.0,Debit Card,2.54,216.0
112,Water,B,Delhi,Normal,2,30.0,Cash,2.96,60.0
113,Milk,B,Delhi,Normal,6,45.0,UPI,4.84,270.0
114,Cheese,B,Delhi,Normal,2,66.0,Cash,4.91,132.0
115,Water,B,Delhi,Normal,9,22.5,UPI,3.56,202.5
116,Snacks,A,Lucknow,Normal,1,72.0,Cash,4.78,72.0
117,Snacks,A,Lucknow,Member,2,72.0,Credit Card,2.93,144.0
118,Cheese,A,Lucknow,Member,2,66.0,Cash,2.35,132.0
119,Bread,C,Mumbai,Normal,5,42.0,Cash,3.45,210.0
120,Snacks,C,Mumbai,Member,8,60.0,Cash,4.77,480.0
121,Bread,B,Delhi,Normal,5,31.5,Debit Card,3.52,157.5
122,Cheese,C,Mumbai,Normal,5,60.5,Debit Card,3.34,302.5
123,Snacks,C,Mumbai,Normal,6,66.0,Cash,2.97,396.0
124,Coffee,B,Delhi,Member,10,120.0,Debit Card,3.23,1200.0
125,Juice,B,Delhi,Member,7,84.0,Cash,2.11,588.0
126,Juice,A,Lucknow,Normal,8,63.0,UPI,2.43,504.0
127,Bread,B,Delhi,Normal,8,31.5,Credit Card,3.19,252.0
128,Milk,B,Delhi,Normal,9,49.5,Credit Card,4.66,445.5
129,Snacks,A,Lucknow,Member,10,54.0,Credit Card,4.76,540.0
130,Coffee,A,Lucknow,Member,7,108.0,Cash,4.08,756.0
131,Cheese,A,Lucknow,Normal,6,49.5,Cash,3.29,297.0
132,Coffee,C,Mumbai,Member,10,144.0,UPI,2.24,1440.0
133,Water,C,Mumbai,Member,8,25.0,UPI,3.91,200.0
134,Snacks,B,Delhi,Normal,1,66.0,Credit Card,2.47,66.0
135,Snacks,B,Delhi,Normal,10,66.0,Credit Card,3.37,660.0
136,Tea,B,Delhi,Member,7,80.0,UPI,3.72,560.0
137,Tea,C,Mumbai,Normal,1,88.0,UPI,3.7,88.0
138,Cheese,A,Lucknow,Normal,5,66.0,UPI,2.57,330.0
139,Tea,C,Mumbai,Member,2,80.0,UPI,3.32,160.0
140,Juice,B,Delhi,Normal,2,70.0,Credit Card,2.53,140.0
141,Bread,C,Mumbai,Normal,9,38.5,Debit Card,2.77,346.5
142,Snacks,A,Lucknow,Normal,6,66.0,Debit Card,2.42,396.0
143,Coffee,B,Delhi,Member,9,144.0,Credit Card,2.04,1296.0
144,Milk,C,Mumbai,Normal,6,54.0,Credit Card,4.47,324.0
145,Juice,B,Delhi,Member,4,63.0,Credit Card,4.83,252.0
146,Juice,C,Mumbai,Normal,2,70.0,Debit Card,2.91,140.0
147,Water,A,Lucknow,Member,3,22.5,UPI,3.48,67.5
148,Milk,A,Lucknow,Normal,9,45.0,Cash,4.01,405.0
149,Water,C,Mumbai,Member,7,25.0,Debit Card,3.85,175.0
150,Tea,A,Lucknow,Normal,6,72.0,Cash,2.71,432.0
151,Juice,C,Mumbai,Normal,6,63.0,UPI,2.83,378.0
152,Milk,C,Mumbai,Member,2,54.0,Credit Card,3.79,108.0
153,Cheese,A,Lucknow,Member,6,49.5,Credit Card,2.62,297.0
154,Coffee,B,Delhi,Member,4,120.0,Credit Card,3.79,480.0
155,Tea,C,Mumbai,Normal,3,80.0,Debit Card,2.33,240.0
156,Cheese,B,Delhi,Member,1,55.0,Credit Card,2.05,55.0
157,Tea,C,Mumbai,Normal,3,72.0,Cash,4.24,216.0
158,Snacks,C,Mumbai,Member,6,72.0,Cash,2.66,432.0
159,Cheese,C,Mumbai,Member,8,60.5,UPI,3.44,484.0
160,Water,B,Delhi,Normal,2,30.0,UPI,2.24,60.0
161,Bread,B,Delhi,Normal,3,31.5,Cash,3.79,94.5
162,Tea,C,Mumbai,Normal,9,96.0,UPI,4.11,864.0
163,Coffee,A,Lucknow,Normal,8,144.0,Cash,3.36,1152.0
164,Water,B,Delhi,Normal,6,22.5,Credit Card,3.12,135.0
165,Bread,A,Lucknow,Member,2,42.0,UPI,2.29,84.0
166,Juice,A,Lucknow,Normal,9,70.0,Credit Card,3.23,630.0
167,Water,C,Mumbai,Normal,5,22.5,Cash,3.73,112.5
168,Coffee,A,Lucknow,Member,8,120.0,Cash,3.67,960.0
169,Milk,A,Lucknow,Normal,10,49.5,Debit Card,4.92,495.0
170,Cheese,A,Lucknow,Normal,1,60.5,Credit Card,2.93,60.5
171,Juice,A,Lucknow,Member,1,77.0,Cash,3.2,77.0
172,Bread,C,Mumbai,Member,2,31.5,Cash,3.36,63.0
173,Bread,C,Mumbai,Normal,5,38.5,Credit Card,3.7,192.5
174,Milk,A,Lucknow,Member,3,40.5,Credit Card,2.82,121.5
175,Water,B,Delhi,Normal,10,30.0,UPI,4.26,300.0
176,Milk,A,Lucknow,Normal,7,49.5,Credit Card,3.78,346.5
177,Tea,B,Delhi,Member,4,72.0,UPI,2.9,288.0
178,Coffee,B,Delhi,Normal,5,120.0,UPI,3.49,600.0
179,Water,B,Delhi,Member,3,25.0,Cash,4.5,75.0
180,Juice,C,Mumbai,Member,7,63.0,Cash,3.38,441.0
181,Milk,B,Delhi,Normal,10,49.5,Credit Card,3.25,495.0
182,Milk,B,Delhi,Member,1,54.0,Debit Card,3.85,54.0
183,Juice,A,Lucknow,Member,7,63.0,Cash,3.2,441.0
184,Milk,C,Mumbai,Normal,5,54.0,UPI,4.34,270.0
185,Milk,C,Mumbai,Member,9,40.5,Debit Card,3.05,364.5
186,Bread,A,Lucknow,Normal,2,35.0,UPI,3.81,70.0
187,Milk,B,Delhi,Normal,8,45.0,Credit Card,4.65,360.0
188,Juice,B,Delhi,Member,3,77.0,Cash,3.89,231.0
189,Tea,C,Mumbai,Member,6,72.0,UPI,3.36,432.0
190,Cheese,A,Lucknow,Member,5,60.5,Credit Card,3.52,302.5
191,Snacks,C,Mumbai,Member,8,54.0,Cash,3.43,432.0
192,Bread,A,Lucknow,Normal,8,31.5,Debit Card,2.25,252.0
193,Bread,C,Mumbai,Normal,4,31.5,Debit Card,3.57,126.0
194,Bread,B,Delhi,Normal,6,38.5,Cash,3.02,231.0
195,Cheese,B,Delhi,Member,2,60.5,Cash,3.16,121.0
196,Tea,A,Lucknow,Member,6,80.0,Debit Card,2.93,480.0
197,Water,C,Mumbai,Member,10,25.0,UPI,3.13,250.0
198,Juice,A,Lucknow,Normal,9,70.0,Cash,2.05,630.0
199,Tea,B,Delhi,Normal,4,80.0,UPI,5.0,320.0
200,Bread,A,Lucknow,Member,5,31.5,Credit Card,4.63,157.5
201,Bread,A,Lucknow,Member,3,42.0,Debit Card,4.31,126.0
202,Bread,B,Delhi,Normal,1,42.0,Credit Card,2.71,42.0
203,Snacks,A,Lucknow,Member,8,66.0,UPI,4.43,528.0
204,Snacks,C,Mumbai,Normal,6,60.0,Cash,2.85,360.0
205,Water,A,Lucknow,Member,3,30.0,Debit Card,2.16,90.0
206,Snacks,A,Lucknow,Member,9,66.0,UPI,4.29,594.0
207,Tea,A,Lucknow,Normal,9,96.0,UPI,4.73,864.0
208,Snacks,B,Delhi,Member,1,66.0,Cash,3.12,66.0
209,Water,A,Lucknow,Member,6,22.5,Cash,2.3,135.0
210,Juice,A,Lucknow,Normal,3,70.0,Debit Card,3.42,210.0
211,Bread,C,Mumbai,Member,8,42.0,Debit Card,2.06,336.0
212,Coffee,C,Mumbai,Normal,9,120.0,UPI,2.86,1080.0
213,Tea,A,Lucknow,Normal,1,72.0,Credit Card,3.87,72.0
214,Milk,C,Mumbai,Member,8,40.5,Credit Card,3.73,324.0
215,Bread,A,Lucknow,Normal,7,38.5,UPI,3.25,269.5
216,Milk,C,Mumbai,Member,2,49.5,Cash,3.41,99.0
217,Water,C,Mumbai,Member,5,27.5,Cash,2.2,137.5
218,Coffee,C,Mumbai,Normal,10,108.0,UPI,3.06,1080.0
219,Juice,C,Mumbai,Normal,8,70.0,Credit Card,4.43,560.0
220,Milk,B,Delhi,Member,1,54.0,UPI,2.6,54.0
221,Cheese,C,Mumbai,Normal,5,60.5,Debit Card,3.63,302.5
222,Tea,B,Delhi,Normal,4,72.0,Debit Card,2.14,288.0
223,Juice,B,Delhi,Normal,2,77.0,Debit Card,4.23,154.0
224,Water,B,Delhi,Normal,3,27.5,Cash,4.39,82.5
225,Tea,A,Lucknow,Normal,7,72.0,Credit Card,4.47,504.0
226,Tea,A,Lucknow,Normal,2,88.0,Credit Card,2.92,176.0
227,Water,B,Delhi,Normal,8,25.0,UPI,4.61,200.0
228,Juice,C,Mumbai,Member,5,84.0,UPI,3.91,420.0
229,Juice,A,Lucknow,Normal,1,70.0,UPI,2.2,70.0
230,Juice,C,Mumbai,Member,7,77.0,Credit Card,4.04,539.0
231,Juice,A,Lucknow,Member,8,77.0,Cash,3.19,616.0
232,Tea,A,Lucknow,Member,2,80.0,Cash,3.16,160.0
233,Milk,C,Mumbai,Normal,5,49.5,UPI,3.84,247.5
234,Snacks,A,Lucknow,Member,2,60.0,Cash,4.7,120.0
235,Snacks,C,Mumbai,Normal,6,54.0,Credit Card,3.65,324.0
236,Tea,C,Mumbai,Member,3,88.0,Debit Card,3.53,264.0
237,Milk,A,Lucknow,Normal,3,45.0,UPI,3.66,135.0
238,Juice,A,Lucknow,Member,9,84.0,UPI,3.19,756.0
239,Snacks,C,Mumbai,Member,7,72.0,UPI,2.95,504.0
240,Milk,C,Mumbai,Normal,8,54.0,UPI,4.49,432.0
241,Bread,C,Mumbai,Member,7,35.0,Debit Card,3.55,245.0
242,Tea,B,Delhi,Member,3,80.0,Cash,4.82,240.0
243,Tea,A,Lucknow,Normal,5,72.0,UPI,2.91,360.0
244,Milk,C,Mumbai,Member,10,45.0,UPI,3.87,450.0
245,Juice,A,Lucknow,Member,1,63.0,Debit Card,4.31,63.0
246,Tea,B,Delhi,Member,10,80.0,Cash,3.88,800.0
247,Tea,A,Lucknow,Normal,8,88.0,UPI,2.22,704.0
248,Cheese,B,Delhi,Normal,8,55.0,Cash,3.02,440.0
249,Bread,C,Mumbai,Normal,6,38.5,Debit Card,2.39,231.0
250,Juice,A,Lucknow,Normal,6,63.0,UPI,3.35,378.0
251,Bread,B,Delhi,Normal,1,31.5,Debit Card,3.25,31.5
252,Bread,C,Mumbai,Normal,10,38.5,UPI,2.48,385.0
253,Snacks,B,Delhi,Member,5,72.0,UPI,3.18,360.0
254,Snacks,C,Mumbai,Normal,4,60.0,UPI,2.84,240.0
255,Snacks,A,Lucknow,Member,9,66.0,Cash,4.65,594.0
256,Juice,A,Lucknow,Normal,6,84.0,UPI,3.69,504.0
257,Juice,B,Delhi,Normal,2,77.0,Credit Card,2.84,154.0
258,Milk,B,Delhi,Normal,2,45.0,Debit Card,3.02,90.0
259,Juice,C,Mumbai,Normal,4,70.0,Cash,2.14,280.0
260,Bread,C,Mumbai,Normal,8,38.5,UPI,4.68,308.0
261,Bread,B,Delhi,Member,10,38.5,Cash,3.85,385.0
262,Tea,C,Mumbai,Normal,9,88.0,Credit Card,2.9,792.0
263,Cheese,C,Mumbai,Member,6,60.5,Debit Card,3.75,363.0
264,Cheese,C,Mumbai,Member,5,66.0,Credit Card,3.75,330.0
265,Bread,C,Mumbai,Member,3,42.0,UPI,4.84,126.0
266,Milk,B,Delhi,Normal,1,45.0,Cash,3.24,45.0
267,Coffee,C,Mumbai,Normal,9,144.0,Debit Card,4.21,1296.0
268,Cheese,A,Lucknow,Normal,9,55.0,Debit Card,3.44,495.0
269,Water,B,Delhi,Normal,3,27.5,Cash,4.03,82.5
270,Tea,A,Lucknow,Normal,4,96.0,Cash,2.67,384.0
271,Tea,C,Mumbai,Normal,4,88.0,UPI,3.05,352.0
272,Tea,C,Mumbai,Normal,2,88.0,Debit Card,3.18,176.0
273,Juice,A,Lucknow,Normal,5,70.0,Debit Card,2.24,350.0
274,Snacks,A,Lucknow,Member,8,66.0,Debit Card,2.81,528.0
275,Tea,C,Mumbai,Member,2,80.0,UPI,4.01,160.0
276,Coffee,A,Lucknow,Normal,1,120.0,Cash,3.42,120.0
277,Bread,A,Lucknow,Normal,9,31.5,Credit Card,4.64,283.5
278,Snacks,B,Delhi,Normal,4,72.0,UPI,2.18,288.0
279,Milk,C,Mumbai,Member,9,45.0,Debit Card,2.53,405.0
280,Bread,B,Delhi,Member,7,31.5,Debit Card,4.89,220.5
281,Tea,B,Delhi,Member,1,72.0,Debit Card,3.01,72.0
282,Snacks,C,Mumbai,Normal,3,72.0,UPI,4.43,216.0
283,Juice,C,Mumbai,Normal,8,70.0,Credit Card,2.04,560.0
284,Juice,C,Mumbai,Member,10,77.0,UPI,4.57,770.0
285,Water,B,Delhi,Member,9,30.0,Cash,2.29,270.0
286,Bread,A,Lucknow,Member,6,42.0,UPI,2.71,252.0
287,Tea,C,Mumbai,Member,5,88.0,UPI,3.08,440.0
288,Coffee,B,Delhi,Normal,2,108.0,UPI,4.06,216.0
289,Tea,B,Delhi,Member,5,72.0,UPI,2.4,360.0
290,Bread,B,Delhi,Normal,10,42.0,Credit Card,4.74,420.0
291,Coffee,A,Lucknow,Normal,10,120.0,Cash,3.09,1200.0
292,Milk,C,Mumbai,Member,9,40.5,Credit Card,2.45,364.5
293,Juice,C,Mumbai,Member,2,84.0,Credit Card,3.47,168.0
294,Snacks,A,Lucknow,Normal,8,54.0,Cash,2.17,432.0
295,Snacks,B,Delhi,Normal,1,66.0,Debit Card,4.24,66.0
296,Milk,B,Delhi,Member,7,40.5,Cash,2.18,283.5
297,Milk,B,Delhi,Normal,1,54.0,UPI,2.41,54.0
298,Water,B,Delhi,Normal,7,27.5,Cash,4.05,192.5
299,Bread,A,Lucknow,Normal,2,38.5,Cash,4.18,77.0
300,Coffee,B,Delhi,Normal,1,108.0,Credit Card,3.63,108.0
301,Water,B,Delhi,Normal,4,25.0,UPI,2.57,100.0
302,Milk,C,Mumbai,Member,7,40.5,UPI,2.2,283.5
303,Cheese,C,Mumbai,Member,10,66.0,UPI,2.13,660.0
304,Snacks,A,Lucknow,Member,9,60.0,UPI,4.98,540.0
305,Coffee,C,Mumbai,Normal,10,132.0,UPI,4.63,1320.0
306,Coffee,B,Delhi,Member,5,144.0,Cash,3.78,720.0
307,Bread,B,Delhi,Member,9,42.0,Debit Card,4.82,378.0
308,Water,B,Delhi,Member,7,27.5,UPI,2.55,192.5
309,Snacks,B,Delhi,Member,4,60.0,Debit Card,4.74,240.0
310,Water,C,Mumbai,Member,9,30.0,Cash,2.76,270.0
311,Juice,B,Delhi,Member,8,63.0,Cash,4.49,504.0
312,Cheese,C,Mumbai,Member,7,60.5,Debit Card,2.56,423.5
313,Coffee,B,Delhi,Normal,4,144.0,Debit Card,2.05,576.0
314,Coffee,A,Lucknow,Member,8,108.0,Cash,2.72,864.0
315,Juice,B,Delhi,Normal,7,77.0,UPI,3.08,539.0
316,Snacks,C,Mumbai,Normal,2,72.0,Credit Card,2.96,144.0
317,Coffee,B,Delhi,Member,6,132.0,Cash,2.66,792.0
318,Bread,C,Mumbai,Normal,5,31.5,UPI,2.59,157.5
319,Coffee,A,Lucknow,Normal,10,144.0,Cash,4.83,1440.0
320,Juice,C,Mumbai,Normal,8,77.0,Cash,4.2,616.0
321,Juice,C,Mumbai,Normal,3,70.0,UPI,4.67,210.0
322,Cheese,C,Mumbai,Member,2,49.5,Credit Card,3.24,99.0
323,Coffee,A,Lucknow,Member,3,108.0,Cash,3.12,324.0
324,Snacks,A,Lucknow,Normal,1,72.0,UPI,3.59,72.0
325,Tea,C,Mumbai,Normal,1,88.0,Debit Card,4.73,88.0
326,Milk,A,Lucknow,Member,9,40.5,UPI,3.58,364.5
327,Juice,A,Lucknow,Normal,7,77.0,Debit Card,3.38,539.0
328,Coffee,C,Mumbai,Member,5,120.0,Credit Card,4.57,600.0
329,Cheese,B,Delhi,Normal,7,49.5,Cash,2.17,346.5
330,Cheese,B,Delhi,Normal,2,55.0,Credit Card,2.99,110.0
331,Milk,A,Lucknow,Normal,4,40.5,UPI,4.77,162.0
332,Tea,B,Delhi,Member,3,72.0,Debit Card,3.76,216.0
333,Water,A,Lucknow,Member,5,22.5,Cash,4.55,112.5
334,Juice,C,Mumbai,Member,3,84.0,Cash,4.92,252.0
335,Cheese,A,Lucknow,Member,7,49.5,Cash,4.31,346.5
336,Water,C,Mumbai,Normal,1,27.5,Credit Card,3.35,27.5
337,Coffee,B,Delhi,Normal,9,132.0,UPI,3.76,1188.0
338,Water,B,Delhi,Member,10,22.5,Credit Card,2.25,225.0
339,Bread,C,Mumbai,Normal,3,42.0,UPI,2.32,126.0
340,Cheese,B,Delhi,Normal,8,60.5,UPI,2.26,484.0
341,Water,C,Mumbai,Normal,9,30.0,UPI,2.27,270.0
342,Milk,A,Lucknow,Normal,7,49.5,Cash,4.34,346.5
343,Coffee,A,Lucknow,Member,7,120.0,UPI,2.81,840.0
344,Bread,B,Delhi,Normal,3,31.5,Cash,3.45,94.5
345,Milk,A,Lucknow,Normal,5,49.5,Credit Card,2.59,247.5
346,Milk,A,Lucknow,Normal,5,45.0,Cash,3.86,225.0
347,Juice,B,Delhi,Member,6,84.0,UPI,3.81,504.0
348,Coffee,A,Lucknow,Normal,6,144.0,Debit Card,2.87,864.0
349,Snacks,B,Delhi,Normal,6,60.0,Debit Card,3.18,360.0
350,Milk,C,Mumbai,Member,10,45.0,Credit Card,3.65,450.0
351,Snacks,B,Delhi,Member,8,60.0,Debit Card,4.39,480.0
352,Water,C,Mumbai,Normal,3,30.0,UPI,3.98,90.0
353,Water,B,Delhi,Normal,2,30.0,Credit Card,3.6,60.0
354,Water,C,Mumbai,Member,6,22.5,UPI,2.74,135.0
355,Juice,A,Lucknow,Normal,10,70.0,Debit Card,2.99,700.0
356,Water,A,Lucknow,Normal,1,22.5,UPI,4.24,22.5
357,Coffee,B,Delhi,Normal,6,144.0,Credit Card,3.77,864.0
358,Bread,B,Delhi,Member,1,38.5,UPI,4.76,38.5
359,Milk,B,Delhi,Normal,3,40.5,Cash,4.35,121.5
360,Snacks,A,Lucknow,Normal,8,66.0,Credit Card,3.36,528.0
361,Milk,C,Mumbai,Member,1,49.5,UPI,3.03,49.5
362,Milk,C,Mumbai,Member,4,45.0,Cash,2.99,180.0
363,Water,B,Delhi,Member,4,30.0,UPI,3.97,120.0
364,Water,A,Lucknow,Normal,10,22.5,Credit Card,3.17,225.0
365,Coffee,C,Mumbai,Member,5,120.0,Credit Card,4.4,600.0
366,Bread,A,Lucknow,Normal,6,38.5,UPI,4.01,231.0
367,Snacks,B,Delhi,Normal,10,66.0,Credit Card,3.04,660.0
368,Snacks,C,Mumbai,Member,5,60.0,Credit Card,2.94,300.0
369,Coffee,A,Lucknow,Normal,2,132.0,Credit Card,3.53,264.0
370,Water,B,Delhi,Normal,10,25.0,UPI,3.91,250.0
371,Bread,B,Delhi,Member,8,35.0,UPI,4.53,280.0
372,Cheese,B,Delhi,Member,1,60.5,UPI,3.15,60.5
373,Snacks,B,Delhi,Normal,8,72.0,Cash,2.25,576.0
374,Cheese,A,Lucknow,Normal,5,55.0,UPI,2.87,275.0
375,Snacks,C,Mumbai,Member,9,72.0,Credit Card,2.8,648.0
376,Juice,C,Mumbai,Member,8,63.0,Debit Card,2.31,504.0
377,Coffee,B,Delhi,Normal,1,132.0,Cash,4.45,132.0
378,Snacks,A,Lucknow,Normal,4,54.0,Debit Card,3.83,216.0
379,Water,A,Lucknow,Member,10,25.0,Debit Card,4.42,250.0
380,Juice,C,Mumbai,Member,10,77.0,Cash,4.11,770.0
381,Tea,C,Mumbai,Member,9,88.0,UPI,4.25,792.0
382,Water,C,Mumbai,Member,5,22.5,Credit Card,2.4,112.5
383,Bread,C,Mumbai,Normal,4,38.5,Cash,3.73,154.0
384,Tea,B,Delhi,Member,7,96.0,Credit Card,4.64,672.0
